vendorID,vendorName,companyLegalName,companyPreferredName,vendorLandingPageURL,creator,schemaVersion
5215,Good Way Technology,"Good Way Technology Co., Ltd.",Good Way,https://siot.goodway.com.tw/,cosmos1qr7a4rlx9zepme5f2pnm93erjw9m7djqwevcvw,0
5216,lipro,"Zhuhai Ruran Intelligent Technology Co., LTD",,,cosmos128tknn7vhd3peuwrca4kzjan7v23qez7x3xlle,0
5217,Xinda,"Xinda Asset Management (Shenzhen) Co.,Ltd.",,,cosmos1regpq9syqwf3yz5jd32a4mkumheuuhj5nv3ewy,0
5218,Energy Magic Cube,"Chengdu Energy Magic Cube Technology Co., Ltd","Chengdu Energy Magic Cube Technology Co., Ltd",https://www.nmfiot.com/,cosmos1eu73krkwy8d7semkcmwdr9sxjvm8z2dskc0pdj,0
5219,Eberle,EBERLE Controls GmbH,,https://eberle.de/,cosmos1x0nqnw767dxncqdhh4jnnhag4vvm9fx93gt5ap,0
5221,Hunter Douglas Group,Hunter Douglas,Hunter Douglas,https://www.hunterdouglas.com,cosmos1ann9fmkpayfn8qal9aky9ts6aejaevh7kqljr6,0
5222,Hangzhou Hemos Lighting Company Limited,Hangzhou Hemos Lighting Company Limited,,,cosmos12h6s9cem2j42jvushdww6f835c60l0ld794jn7,0
5224,Anona Security Technology Limited,Anona Security Technology Limited,Anona Security,,cosmos1v5aj8hzr6fpvkt7khp6v9r6y0nt4gvnm53wsw9,0
5226,Intecular,Intecular LLC,Intecular,https://intecular.com,cosmos1jcncv8t5lgxfwm9xl98s73tn72n6f40ehrk77s,0
5229,Polyaire,POLYAIRE PTY. LTD.,Polyaire,https://www.airtouch.net.au/,cosmos1pe6vm0ghfhy6wd89mljsux44r0thhgz7nzsvwl,0
5230,SMART,Shenzhen PINXUAN Trading Co.,SMART,https://shop06k6620793y97.1688.com/,cosmos1kuf3ar0ueurcrl6ty4m7sn3yeqljmp7fnznsj8,0
5231,SmartWings,SamrtWings Home LLC,SamrtWings Home LLC,,cosmos1s48jw28zpjwdt7nqrpsmc0a2mgsdcz075ppe6h,0
5232,HOPERF,"Shenzhen Hope Microelectronics Co., Ltd",HOPERF,https://www.hoperf.com/,cosmos1epjk4cz3pgek53k979e0jsqdrx08ah2ejajcq0,0
5234,JLM,"Zhejiang jiecang Linear Motion Technology Co.,Ltd",,,cosmos1j69fkgpeec8ltajdyesqqqef4h86npqp0ll0fx,0
5235,Shenzhen Lelight technology Co.ltd,Shenzhen Lelight technology Co.ltd,,,cosmos122r0yhafv2gye74umhpg7z2f8vqnnfu5j2grvm,0
5236,None,"Shenzhen Ruomu Zhilian Technology Co., Ltd.",None,https://shop6t5551b735163.1688.com/page/index.html?spm=0.0.wp_pc_common_header_companyName_undefined.0,cosmos1pfecysr4m6gsmva652flrrnetxwhy37sy6d2fu,0
5239,"MULTI IR TECHNOLOGY CO., LTD","SHENZHEN MULTI IR TECHNOLOGY CO., LTD",Multi IR,http://en.mirsz.cn/,cosmos1ggj8xh6frn060a66zhgvjps93mua4y255sdsga,0
5240,APYNOV,APYNOV SAS,,,cosmos1lav3njvxk2fng67relawu2d5d6708xxjjgjrws,0
5242,"Shenzhen Realwe Innovation Technology  Co., Ltd.","Shenzhen Realwe Innovation Technology  Co., Ltd.",,,cosmos1jeke5cmj69f7d9qtr9zfaasau8kea4cm5vt474,0
5243,LUMIFLOW,LUMIFLOW INC,,,cosmos1glgunxwg533tghqxevkhwxz8lfrpv9gpaum84u,0
5244,SHENAN YANGGUANG,"SHENZHEN SHENAN YANGGUANG ELECTRONICS CO., LTD.",,,cosmos1zsqkmc6xssr66q3y5yzqynym3c3ehlgn3aaxxh,0
5245,"Wenzhou Morning Electronics Co., Ltd.","Wenzhou Morning Electronics Co., Ltd.",,,cosmos1k9z0ns8u0mvv5xd4htvynscyy907tcng3m7uye,0
5246,MIWA LOCK,"MIWA LOCK Co., LTD.",MIWA LOCK,https://www.miwa-lock.co.jp/,cosmos1aw603y3gr272vvchds8097aww6dhfyp0l9qyal,0
5247,U-tec Group Inc.,U-tec Group Inc.,,,cosmos1wk0689xgevpp3l4c5y6axw4qjpudzlcl6nkz0r,0
5248,Roborock,"Beijing Roborock Technology Co., Ltd.",Roborock,https://www.roborock.com,cosmos1azewtguu3264xf6xe0ylm2jn4tjw8pvj60v526,0
5249,Shenzhen Xenon Industrial Ltd,Shenzhen Xenon Industrial Ltd,Shenzhen Xenon Industrial Ltd,http://www.xenon.cn,cosmos1l2qu9zhkhtfsvd5rc620gdl343ewah2utq5zpv,0
5250,"Guangzhou Lingqu Electronic Technology Co., Ltd",广州市灵趣电子科技有限公司,Lengceoi,https://ling-qu.com,cosmos1zzw5dffdhn40hfns06uu5tc4ghj5gcdad0zts4,0
5251,jhome,"Shenzhen Jijia Intelligent Technology Co., Ltd.",,,cosmos1ce59xfdzd4tx8ex5e9tv49k90zwntljf0qgnv5,0
5254,Infibrite,Infibrite Inc,Infibrite,https://www.Infibrite.com,cosmos1006y3znqnu0ryq6s5nqtqd52hcm539n94u6d6v,0
5256,Flic,Shortcut Labs AB,Shortcut Labs (Flic),https://flic.io,cosmos1tkzjp6p2v9m7xs3azjxhmztmxthz5ja8lek36y,0
5258,Occhio,Occhio GmbH,,,cosmos14g0e26azdsqpuumx5cq9l839uge83ay93yv50x,0
5259,Samraj,Samraj Technologies Limited,Samraj,https://www.samraj.tech/,cosmos1lnpt2686007wzf68qsfpnk0lwuzkclrfnflq2t,0
5261,EME,EME Limited,,,cosmos13xdx4dtj9x0gyl6chdrw44c3s3u57aszyu62sg,0
5262,Binthen,"Hangzhou Binthen intelligence technology Co., LTD",,,cosmos1axmgaerfyruezzxuz5mjpwvedekxg89rllk6ke,0
5264,Shelly,Shelly Europe Ltd.,Shelly,https://www.shelly.com/,cosmos146fngp8xactuqhpf52t3kgejx9fvxvlmzgwlfr,0
5267,"NIE-TECH Co., Ltd.","NIE-TECH Co., Ltd.",,,cosmos12swuy3wadmwd4vluvhlcdpjzmsc80ekdujz04p,0
5268,Martin Renz GmbH,Martin Renz GmbH,,https://renz-gmbh.de/,cosmos17l3ut9xu6rzqy42sftxt68fm4wqpeq0vgpvyvq,0
5269,"PACIFIC HOGAR, S.L.","PACIFIC HOGAR, S.L.",,,cosmos1mple7mg5nq449cpz6zwrmsjpx53kengd7hzhzu,0
5270,InnoPhase IOT,InnoPhase IOT Inc,InnoPhase IOT Inc,https://innophaseiot.com/,cosmos1czce74826vrvdr8z4je4m5ltrlz9ks49w2phcv,0
5271,DMA Inc.,DMA Inc.,,,cosmos1v7y22lzdjl92r6peatmj2wm0gur294zmaprh2l,0
5273,CLIO,"CLIO Co., Ltd.",CLIO,https://www.iclio.com/,cosmos1krps7m6xtj0whqura6dkzh8fezdf5marpj2fkr,0
5274,Guangdong A-OK,"Guangdong A-OK Technology Grand Development Co.,Ltd.",,,cosmos1sd0kxjewgvknqdw5r5hj6myw8uav5z7zcudce6,0
5275,AIGOSTAR,"Agzzx Optoelectronics Technology Co., Ltd",,,cosmos19rjnu3h5pm5l8c3yqlf6kmuxnt3k3rr0zgvyga,0
5276,HONG KONG LAUNRAY INDUSTRY LIMITED,HONG KONG LAUNRAY INDUSTRY LIMITED,,,cosmos1hksc9cggwm98wren9tvfre5k06zs7w7l0dfgs8,0
5279,Deyi Smart ,"Deyi Smart Home Co.,Ltd",,,cosmos1cuwltw8ncu80vhzk7fz65nqyzt3smsd64jy5hx,0
5282,Hugo,Hugo Brennenstuhl GmbH & Co. KG,,,cosmos1073nsrgp7p90fhee3mrarvp6l2lp6ayn27kr4r,0
5293,Raex,"Guangdong RAEX Intelligent Technology Co.,Ltd.","Guangdong RAEX Intelligent Technology Co.,Ltd.",,cosmos12q4krt68dmy8gvn7r4umzcupkyln4c4nmuw49q,0
5376,SmartWave,SmartWave Inc.,SmartWave,,cosmos18xp4c6ywuc4u6as8ny9crtky70w4gftxw9l8w0,0
5379,RM,"Qingdao Ronco Mechanic Electronic Technology Co., Ltd.",RM,https://www.ronco-tm.com/en/,cosmos1vpnzh6hu2pur3hel5ar2h9sz69hatsj454qkye,0
5380,"Hangzhou Mango Network Technology Co, LTD.","Hangzhou Mango Network Technology Co, LTD.",,,cosmos1hjy6x3f6ypfvxj2lvx9dl0wqkt7j4gwvlh9tw3,0
5382,SAFEMO,SAFEMO PTE. LTD.,SAFEMO,https://safemo.com/,cosmos125n9hnad4rq6ekht9pmyvfg7dwxxg4zlkvsmwt,0
5383,Bweetech,"Bweetech Electronics Technology (Shanghai) Co., Ltd.",,,cosmos1v2k5zfknzzejecewgf5dx0acl7p4kxyr3ywvu0,0
5384,Rui Teng,"Rui Teng Opto Technology Co.,Ltd",,,cosmos12t5dh6xrtaamxhvv7wz9kv2gfggxh4n47ejggx,0
5387,Technology Nexus Secured Business Solutions AB,Technology Nexus Secured Business Solutions AB,,,cosmos1q6kurgc88wzg656rqmad5cnhacch0dm095enaj,0
5388,Nexxt Solutions LLC,Nexxt Solutions LLC,,,cosmos1kejat894lhk6aqypwezmdy2kv804jcd032xnut,0
5389,"Shenzhen Huayu Lian Technology Co., Ltd","Shenzhen Huayu Lian Technology Co., Ltd",,,cosmos18vqr7xfsyhxqwk7yhjah2agpe2qcgh7zew3sjp,0
5391,in-lite,in-lite Design B.V.,in-lite Design B.V.,https://in-lite.com/en/,cosmos1p0mq620zlw9hqyv467ez0u3ws2pza4gj2dy9hj,0
5393,Saishigao,"Hangzhou Saishigao Intelligent Technology Co., Ltd",,,cosmos16ygvjps405vq5prg0xlyrmym9xuft6gyu3jcna,0
5394,Yourlite,"Ningbo Yourlite Imp. & Exp. Co., Ltd.",,,cosmos1uxeph9pf7d6j784p2kzzknqnvhk82ym87g7jng,0
5395,ALPHA,Alpha Tubular Motors,,,cosmos1eefv5l06c23zza2f503vrjeaqltdnfchksrfva,0
5396,Chuan Dian,"Zhongshan Chuan Dian electronic Technology Co., LTD",,,cosmos1g7yzhvclx5hpar6h087x0v38xll9v4n59smtpx,0
5399,Huacheng Network,"Hangzhou Huacheng Network Technology Co., Ltd.",,,cosmos1nx4s3wwp2uk0dcm8t46ue2j2wvep5g68n9f9m3,0
5401,i3 Engineering,I3 ENGINEERING LLC,i3 Engineering,https://i3engineering.com/,cosmos1s6s8u63x04adrdzj4vf4c92n3cp96yq9qdj7gd,0
5402,Leviosa Motor Shades,Leviosa Motor Shades,Leviosa Motor Shades,https://leviosashades.com/,cosmos12ugjxy733ttkmq67ttmgdxhhslmtam2cehmr00,0
5403,Sunfree  Motor,Ningbo Sunfree Motor Technology Company Limited,,,cosmos1ztvtv3yqt6q2fke87el8k03pz0zck4xuxlvl7f,0
5404,Schoenberger,Schoenberger Group GmbH,Schoenberger Group ,https://www.jalousiescout.de/,cosmos1enpj3zmn55cuc4zgyw0r5jv0nkfvccmqhkwt3p,0
5405,Dendo Systems,Dendo Systems Pty Ltd,Dendo,http://dendosystems.com,cosmos1gdsaqujca3y67fmfza5l79j4kpm8wlmq8wcapx,0
5406, Kudelski IoT,Nagravision Sàrl,,,cosmos178eqaghg42jsye0hyrud3ulq8k44ht90l3x77p,0
5407,Apporo,Apporo Union Inc,,,cosmos1tyhu6qtxv4wleyggauy2nyckkugt7dzt3tzxwd,0
5408,"Rachio, Inc.","Rachio, Inc.",Rachio,https://rachio.com/,cosmos1edshr2cwazjq83wvzxdk9gg2aryz0u4lhs88v6,0
5409,NEWLAB S.R.L.,NEWLAB S.R.L.,NEWLAB,https://www.newlablight.com,cosmos1eujl6vmyqy4c2mg8efukpss5m3yjex73ehqete,0
5411,Yooksmart,"Changzhou Yooksmart Innovation Co.,Ltd",,,cosmos1nexs6mkexuuf93meg4ay8t3r2eqyhhvecysr9t,0
5415,habi,Computime Limited ,Computime Limited ,,cosmos1av6v9vrfh89yzw2fm08s62lx3ar97gj0vzmtxc,0
5416,ntve home,Computime Brands Limited,,,cosmos1yrm9zlgr9wqum03gnc8q8akavz2ledk2fqhygf,0
