vid,pid,softwareVersion,certificationType,softwareVersionString,cDVersionNumber,softwareVersionCertificationStatus,date,reason,owner,history,cDCertificateId,certificationRoute,programType,programTypeVersion,compliantPlatformUsed,compliantPlatformVersion,transport,familyId,supportedClusters,OSVersion,parentChild,certificationIdOfSoftwareComponent,schemaVersion
4107,8478,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22506MAT40506-24,,,,,,,,,,,,0
4107,8479,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22507MAT40507-24,,,,,,,,,,,,0
4107,8480,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22508MAT40508-24,,,,,,,,,,,,0
4107,8481,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22509MAT40509-24,,,,,,,,,,,,0
4107,8482,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22510MAT40510-24,,,,,,,,,,,,0
4107,8483,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22511MAT40511-24,,,,,,,,,,,,0
4107,8484,0,matter,v1.0,1,2,2023-08-14T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23B44MAT41655-24,,,,,,,,,,,,0
4107,8485,0,matter,v1.0,1,2,2023-08-14T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23B45MAT41656-24,,,,,,,,,,,,0
4107,8486,0,matter,v1.0,1,2,2023-08-14T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23B46MAT41657-24,,,,,,,,,,,,0
4107,8491,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22278MAT40278-24,,,,,,,,,,,,0
4107,8492,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22279MAT40279-24,,,,,,,,,,,,0
4107,8494,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22281MAT40281-24,,,,,,,,,,,,0
4107,8495,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22283MAT40283-24,,,,,,,,,,,,0
4107,8496,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22284MAT40284-24,,,,,,,,,,,,0
4107,8497,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22285MAT40285-24,,,,,,,,,,,,0
4107,8499,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22291MAT40291-24,,,,,,,,,,,,0
4107,8503,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22306MAT40306-24,,,,,,,,,,,,0
4107,8505,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22282MAT40282-24,,,,,,,,,,,,0
4107,8506,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22320MAT40320-24,,,,,,,,,,,,0
4107,8507,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22321MAT40321-24,,,,,,,,,,,,0
4107,8509,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22324MAT40324-24,,,,,,,,,,,,0
4107,8510,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22325MAT40325-24,,,,,,,,,,,,0
4107,8511,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22328MAT40328-24,,,,,,,,,,,,0
4107,8514,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22332MAT40332-24,,,,,,,,,,,,0
4107,8515,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22333MAT40333-24,,,,,,,,,,,,0
4107,8516,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22376MAT40376-24,,,,,,,,,,,,0
4107,8517,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22377MAT40377-24,,,,,,,,,,,,0
4107,8518,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22378MAT40378-24,,,,,,,,,,,,0
4107,8519,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22379MAT40379-24,,,,,,,,,,,,0
4107,8520,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22380MAT40380-24,,,,,,,,,,,,0
4107,8521,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22381MAT40381-24,,,,,,,,,,,,0
4107,8522,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22382MAT40382-24,,,,,,,,,,,,0
4107,8523,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22383MAT40383-24,,,,,,,,,,,,0
4107,8524,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22384MAT40384-24,,,,,,,,,,,,0
4107,8525,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22385MAT40385-24,,,,,,,,,,,,0
4107,8526,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22386MAT40386-24,,,,,,,,,,,,0
4107,8527,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22387MAT40387-24,,,,,,,,,,,,0
4107,8528,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22388MAT40388-24,,,,,,,,,,,,0
4107,8529,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22389MAT40389-24,,,,,,,,,,,,0
4107,8530,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22390MAT40390-24,,,,,,,,,,,,0
4107,8531,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22391MAT40391-24,,,,,,,,,,,,0
4107,8532,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22392MAT40392-24,,,,,,,,,,,,0
4107,8533,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22393MAT40393-24,,,,,,,,,,,,0
4107,8534,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22394MAT40394-24,,,,,,,,,,,,0
4107,8535,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22395MAT40395-24,,,,,,,,,,,,0
4107,8536,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22396MAT40396-24,,,,,,,,,,,,0
4107,8537,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22397MAT40397-24,,,,,,,,,,,,0
4107,8538,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22398MAT40398-24,,,,,,,,,,,,0
4107,8539,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22399MAT40399-24,,,,,,,,,,,,0
4107,8540,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22400MAT40400-24,,,,,,,,,,,,0
4107,8541,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22404MAT40404-24,,,,,,,,,,,,0
4107,8542,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22405MAT40405-24,,,,,,,,,,,,0
4107,8543,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22406MAT40406-24,,,,,,,,,,,,0
4107,8544,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22407MAT40407-24,,,,,,,,,,,,0
4107,8545,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22408MAT40408-24,,,,,,,,,,,,0
4107,8546,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22409MAT40409-24,,,,,,,,,,,,0
4107,8547,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22410MAT40410-24,,,,,,,,,,,,0
4107,8548,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22411MAT40411-24,,,,,,,,,,,,0
4107,8549,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22412MAT40412-24,,,,,,,,,,,,0
4107,8550,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22413MAT40413-24,,,,,,,,,,,,0
4107,8551,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22414MAT40414-24,,,,,,,,,,,,0
4107,8552,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22415MAT40415-24,,,,,,,,,,,,0
4107,8553,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22416MAT40416-24,,,,,,,,,,,,0
4107,8554,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22417MAT40417-24,,,,,,,,,,,,0
4107,8555,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22418MAT40418-24,,,,,,,,,,,,0
4107,8556,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22419MAT40419-24,,,,,,,,,,,,0
4107,8557,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22420MAT40420-24,,,,,,,,,,,,0
4107,8558,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22421MAT40421-24,,,,,,,,,,,,0
4107,8559,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22422MAT40422-24,,,,,,,,,,,,0
4107,8571,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22434MAT40434-24,,,,,,,,,,,,0
4107,8572,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22435MAT40435-24,,,,,,,,,,,,0
4107,8573,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22436MAT40436-24,,,,,,,,,,,,0
4107,8574,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22437MAT40437-24,,,,,,,,,,,,0
4107,8575,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22438MAT40438-24,,,,,,,,,,,,0
4107,8576,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22439MAT40439-24,,,,,,,,,,,,0
4107,8577,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22440MAT40440-24,,,,,,,,,,,,0
4107,8578,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22441MAT40441-24,,,,,,,,,,,,0
4107,8579,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22442MAT40442-24,,,,,,,,,,,,0
4107,8580,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22443MAT40443-24,,,,,,,,,,,,0
4107,8581,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22444MAT40444-24,,,,,,,,,,,,0
4107,8582,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22445MAT40445-24,,,,,,,,,,,,0
